depart_code;arrival_code;scheduled_hour;scheduled_arrival_hour;arrival_next_day;distance_km;Mon;Tue;Wed;Thu;Fri;Sat;Sun
HUB1;QXBF;15;0;1;6907;1;1;1;1;1;1;1
QXBF;HUB1;2;11;0;6907;1;1;1;1;1;1;1
HUB1;AQUO;21;1;1;3180;0;0;0;0;1;0;0
AQUO;HUB1;3;7;0;3180;0;0;0;0;1;0;0
HUB1;YJXD;22;1;1;1748;0;1;0;0;1;0;0
YJXD;HUB1;3;6;0;1748;0;1;0;0;1;0;0
HUB1;KYIS;15;20;0;3893;1;1;1;1;1;1;1
KYIS;HUB1;22;3;1;3893;1;1;1;1;1;1;1
HUB1;MVAE;12;13;0;825;1;0;1;1;0;1;1
MVAE;HUB1;14;15;0;825;1;0;1;1;0;1;1
HUB1;TZLH;16;22;0;4784;1;1;1;1;1;1;1
TZLH;HUB1;23;5;1;4784;1;1;1;1;1;1;1
HUB1;BMMC;14;17;0;2019;1;1;1;1;1;1;1
BMMC;HUB1;18;21;0;2019;1;1;1;1;1;1;1
HUB1;PUFU;10;17;0;5546;0;0;0;0;1;0;0
PUFU;HUB1;18;1;1;5546;0;0;0;0;1;0;0
HUB1;TAEE;18;2;1;6604;1;1;1;1;1;1;1
TAEE;HUB1;3;11;0;6604;1;1;1;1;1;1;1
HUB1;KOXT;10;17;0;5130;0;1;0;0;1;0;0
KOXT;HUB1;18;1;1;5130;0;1;0;0;1;0;0
HUB1;ZHCC;18;21;0;2533;0;1;0;0;1;0;0
ZHCC;HUB1;23;2;1;2533;0;1;0;0;1;0;0
HUB1;STDQ;16;22;0;4470;0;1;0;0;1;0;0
STDQ;HUB1;23;5;1;4470;0;1;0;0;1;0;0
HUB1;KSNL;21;3;1;4390;1;0;1;1;0;1;1
KSNL;HUB1;5;11;0;4390;1;0;1;1;0;1;1
HUB1;CFLJ;8;15;0;5613;1;1;1;1;1;1;1
CFLJ;HUB1;17;0;1;5613;1;1;1;1;1;1;1
HUB1;LLGC;12;20;0;6385;1;1;1;1;1;1;1
LLGC;HUB1;22;6;1;6385;1;1;1;1;1;1;1
HUB1;CPTA;14;17;0;1845;1;1;1;1;1;1;1
CPTA;HUB1;18;21;0;1845;1;1;1;1;1;1;1
HUB1;MDZO;4;8;0;3297;1;1;1;1;1;1;1
MDZO;HUB1;9;13;0;3297;1;1;1;1;1;1;1
HUB1;QNAX;15;20;0;3958;1;1;1;1;1;1;1
QNAX;HUB1;21;2;1;3958;1;1;1;1;1;1;1
HUB1;LIAE;11;18;0;5441;0;1;0;1;1;0;1
LIAE;HUB1;19;2;1;5441;0;1;0;1;1;0;1
HUB1;WAVG;14;20;0;4640;1;0;1;1;0;1;1
WAVG;HUB1;21;3;1;4640;1;0;1;1;0;1;1
HUB1;AUVV;3;7;0;2695;0;1;0;0;1;0;0
AUVV;HUB1;8;12;0;2695;0;1;0;0;1;0;0
HUB1;GFOP;16;19;0;2308;1;0;1;1;0;1;1
GFOP;HUB1;21;0;1;2308;1;0;1;1;0;1;1
HUB1;HNBN;17;22;0;3732;0;0;0;0;1;0;0
HNBN;HUB1;0;5;0;3732;0;0;0;0;1;0;0
HUB1;AMVU;17;23;0;4775;1;0;1;1;0;1;1
AMVU;HUB1;1;7;0;4775;1;0;1;1;0;1;1
HUB1;NEAW;17;1;1;6365;0;1;0;0;1;1;0
NEAW;HUB1;3;11;0;6365;0;1;0;0;1;1;0
HUB1;LXIM;9;16;0;5398;0;1;0;0;1;0;0
LXIM;HUB1;17;0;1;5398;0;1;0;0;1;0;0
HUB1;DQYT;12;19;0;5234;1;1;1;1;1;1;1
DQYT;HUB1;20;3;1;5234;1;1;1;1;1;1;1
HUB1;ULPW;12;19;0;5572;1;0;1;1;0;1;1
ULPW;HUB1;20;3;1;5572;1;0;1;1;0;1;1
HUB1;UAJN;19;22;0;2507;0;0;0;0;1;0;0
UAJN;HUB1;0;3;0;2507;0;0;0;0;1;0;0
HUB1;YKHO;20;5;1;6851;0;1;0;0;1;0;0
YKHO;HUB1;6;15;0;6851;0;1;0;0;1;0;0
HUB1;HERA;10;17;0;5666;1;0;1;1;0;1;1
HERA;HUB1;18;1;1;5666;1;0;1;1;0;1;1
HUB1;EBYM;10;14;0;2675;1;0;1;1;0;1;1
EBYM;HUB1;16;20;0;2675;1;0;1;1;0;1;1
HUB1;RREQ;6;11;0;3871;1;1;1;1;1;1;1
RREQ;HUB1;13;18;0;3871;1;1;1;1;1;1;1
HUB1;XOXZ;7;12;0;3985;0;1;0;0;1;0;0
XOXZ;HUB1;13;18;0;3985;0;1;0;0;1;0;0
HUB1;VIHK;21;0;1;2040;0;1;0;1;1;0;1
VIHK;HUB1;2;5;0;2040;0;1;0;1;1;0;1
HUB1;CZQD;8;16;0;6091;0;1;0;1;1;0;1
CZQD;HUB1;17;1;1;6091;0;1;0;1;1;0;1
HUB1;HUDY;4;12;0;6320;1;0;1;1;0;1;1
HUDY;HUB1;13;21;0;6320;1;0;1;1;0;1;1
HUB1;ZACS;12;17;0;3879;0;1;0;0;1;0;0
ZACS;HUB1;19;0;1;3879;0;1;0;0;1;0;0
HUB1;DSKH;15;22;0;5224;1;0;1;1;0;1;1
DSKH;HUB1;23;6;1;5224;1;0;1;1;0;1;1
HUB1;EQRU;13;17;0;2870;0;0;0;0;1;0;0
EQRU;HUB1;18;22;0;2870;0;0;0;0;1;0;0
HUB1;QWSN;4;7;0;2489;1;1;1;1;1;1;1
QWSN;HUB1;8;11;0;2489;1;1;1;1;1;1;1
HUB1;RCHL;18;21;0;2015;0;0;0;0;1;0;0
RCHL;HUB1;22;1;1;2015;0;0;0;0;1;0;0
HUB1;LNNZ;2;6;0;3034;0;1;0;0;1;0;0
LNNZ;HUB1;7;11;0;3034;0;1;0;0;1;0;0
HUB1;FWBM;0;4;0;2572;0;1;0;1;1;0;1
FWBM;HUB1;6;10;0;2572;0;1;0;1;1;0;1
HUB1;JEZQ;23;6;1;5424;1;1;1;1;1;1;1
JEZQ;HUB1;7;14;0;5424;1;1;1;1;1;1;1
HUB1;DHGP;19;1;1;5033;0;1;0;0;1;1;0
DHGP;HUB1;2;8;0;5033;0;1;0;0;1;1;0
HUB1;GDMH;6;14;0;6112;0;1;0;1;1;0;1
GDMH;HUB1;16;0;1;6112;0;1;0;1;1;0;1
HUB1;QYTT;8;10;0;1379;1;1;1;1;1;1;1
QYTT;HUB1;11;13;0;1379;1;1;1;1;1;1;1
HUB1;LKEE;17;22;0;4244;1;0;1;1;0;1;1
LKEE;HUB1;23;4;1;4244;1;0;1;1;0;1;1
HUB1;OTDG;21;23;0;1313;0;1;0;0;1;0;0
OTDG;HUB1;1;3;0;1313;0;1;0;0;1;0;0
HUB1;NDKV;4;12;0;6311;0;1;0;0;1;0;0
NDKV;HUB1;13;21;0;6311;0;1;0;0;1;0;0
HUB1;RGFW;2;7;0;3947;0;1;0;0;1;1;0
RGFW;HUB1;8;13;0;3947;0;1;0;0;1;1;0
HUB1;KYID;5;12;0;5419;0;1;0;0;1;0;0
KYID;HUB1;14;21;0;5419;0;1;0;0;1;0;0
HUB1;CBNG;5;8;0;1949;0;1;0;1;1;0;1
CBNG;HUB1;9;12;0;1949;0;1;0;1;1;0;1
HUB1;PSCF;20;1;1;3741;0;0;0;0;1;0;0
PSCF;HUB1;2;7;0;3741;0;0;0;0;1;0;0
HUB1;XBEK;7;9;0;1660;0;1;0;0;1;0;0
XBEK;HUB1;11;13;0;1660;0;1;0;0;1;0;0
HUB1;WJWV;12;19;0;5168;1;0;1;1;0;1;1
WJWV;HUB1;20;3;1;5168;1;0;1;1;0;1;1
HUB1;FNBI;14;22;0;6157;0;1;0;0;1;1;0
FNBI;HUB1;0;8;0;6157;0;1;0;0;1;1;0
HUB1;VDAZ;15;18;0;2209;0;0;0;0;1;0;0
VDAZ;HUB1;20;23;0;2209;0;0;0;0;1;0;0
HUB1;FTTR;8;14;0;4643;1;1;1;1;1;1;1
FTTR;HUB1;15;21;0;4643;1;1;1;1;1;1;1
HUB1;SPAD;2;6;0;3259;0;1;0;1;1;0;1
SPAD;HUB1;8;12;0;3259;0;1;0;1;1;0;1
HUB1;KINJ;19;0;1;3939;0;1;0;1;1;0;1
KINJ;HUB1;1;6;0;3939;0;1;0;1;1;0;1
HUB1;HUZO;16;22;0;4299;1;1;1;1;1;1;1
HUZO;HUB1;23;5;1;4299;1;1;1;1;1;1;1
HUB1;HLJE;9;13;0;3160;0;1;0;1;1;0;1
HLJE;HUB1;15;19;0;3160;0;1;0;1;1;0;1
HUB1;WUZF;15;17;0;1011;0;0;0;0;1;0;0
WUZF;HUB1;18;20;0;1011;0;0;0;0;1;0;0
HUB1;YPMR;14;18;0;3025;0;1;0;1;1;0;1
YPMR;HUB1;20;0;1;3025;0;1;0;1;1;0;1
HUB1;JSQP;13;21;0;6284;1;1;1;1;1;1;1
JSQP;HUB1;22;6;1;6284;1;1;1;1;1;1;1
HUB1;TOGL;16;23;0;5402;0;1;0;0;1;0;0
TOGL;HUB1;1;8;0;5402;0;1;0;0;1;0;0
HUB1;HGUY;20;22;0;1519;1;0;1;1;0;1;1
HGUY;HUB1;23;1;1;1519;1;0;1;1;0;1;1
HUB1;YYLJ;1;8;0;5711;0;1;0;0;1;1;0
YYLJ;HUB1;10;17;0;5711;0;1;0;0;1;1;0
HUB1;EOXF;1;3;0;918;0;1;0;0;1;0;0
EOXF;HUB1;5;7;0;918;0;1;0;0;1;0;0
HUB1;VFHF;17;23;0;4391;0;0;0;0;1;0;0
VFHF;HUB1;0;6;0;4391;0;0;0;0;1;0;0
HUB1;GAZY;8;9;0;800;1;0;1;1;0;1;1
GAZY;HUB1;11;12;0;800;1;0;1;1;0;1;1
HUB1;FPNO;3;7;0;3392;0;1;0;1;1;0;1
FPNO;HUB1;8;12;0;3392;0;1;0;1;1;0;1
HUB1;SUNZ;21;0;1;2516;1;1;1;1;1;1;1
SUNZ;HUB1;1;4;0;2516;1;1;1;1;1;1;1
HUB1;AEGJ;13;15;0;1267;1;0;1;1;0;1;1
AEGJ;HUB1;16;18;0;1267;1;0;1;1;0;1;1
HUB1;BFML;2;7;0;3734;0;1;0;1;1;0;1
BFML;HUB1;9;14;0;3734;0;1;0;1;1;0;1
HUB1;DBPR;7;15;0;6211;0;1;0;0;1;0;0
DBPR;HUB1;16;0;1;6211;0;1;0;0;1;0;0
HUB1;UQBV;10;12;0;1638;0;0;0;0;1;0;0
UQBV;HUB1;13;15;0;1638;0;0;0;0;1;0;0
HUB1;TDUC;18;20;0;1427;1;0;1;1;0;1;1
TDUC;HUB1;21;23;0;1427;1;0;1;1;0;1;1
HUB1;RQBD;20;23;0;2419;0;1;0;0;1;1;0
RQBD;HUB1;1;4;0;2419;0;1;0;0;1;1;0
HUB1;VZCQ;11;15;0;3004;0;0;0;0;1;0;0
VZCQ;HUB1;17;21;0;3004;0;0;0;0;1;0;0
HUB1;BIBJ;10;17;0;5435;1;0;1;1;0;1;1
BIBJ;HUB1;19;2;1;5435;1;0;1;1;0;1;1
HUB1;RXRQ;16;20;0;3299;1;1;1;1;1;1;1
RXRQ;HUB1;21;1;1;3299;1;1;1;1;1;1;1
HUB1;VINE;4;7;0;1792;0;1;0;0;1;0;0
VINE;HUB1;9;12;0;1792;0;1;0;0;1;0;0
HUB1;GVAI;17;22;0;3847;1;0;1;1;0;1;1
GVAI;HUB1;23;4;1;3847;1;0;1;1;0;1;1
HUB1;LEHE;23;7;1;6199;0;1;0;0;1;1;0
LEHE;HUB1;9;17;0;6199;0;1;0;0;1;1;0
HUB1;YAYG;11;18;0;5519;0;1;0;1;1;0;1
YAYG;HUB1;19;2;1;5519;0;1;0;1;1;0;1
HUB1;ZIVJ;16;0;1;6284;0;0;0;0;1;0;0
ZIVJ;HUB1;2;10;0;6284;0;0;0;0;1;0;0
HUB1;LPCU;2;4;0;1079;0;1;0;0;1;0;0
LPCU;HUB1;5;7;0;1079;0;1;0;0;1;0;0
HUB1;ETPX;9;17;0;6284;0;1;0;0;1;1;0
ETPX;HUB1;19;3;1;6284;0;1;0;0;1;1;0
HUB1;MPFF;19;21;0;1213;1;1;1;1;1;1;1
MPFF;HUB1;22;0;1;1213;1;1;1;1;1;1;1
HUB1;SUUQ;7;10;0;2203;0;0;0;0;1;0;0
SUUQ;HUB1;12;15;0;2203;0;0;0;0;1;0;0
HUB1;DRYW;11;19;0;6570;0;1;0;0;1;0;0
DRYW;HUB1;21;5;1;6570;0;1;0;0;1;0;0
HUB1;GIDI;1;5;0;3317;0;0;0;0;1;0;0
GIDI;HUB1;6;10;0;3317;0;0;0;0;1;0;0
HUB1;RAQA;0;8;0;6339;0;1;0;1;1;0;1
RAQA;HUB1;10;18;0;6339;0;1;0;1;1;0;1
HUB1;AMFM;0;6;0;4337;0;1;0;0;1;1;0
AMFM;HUB1;7;13;0;4337;0;1;0;0;1;1;0
HUB1;NSEW;13;21;0;6320;0;1;0;0;1;0;0
NSEW;HUB1;22;6;1;6320;0;1;0;0;1;0;0
HUB1;DRQO;9;16;0;5460;1;0;1;1;0;1;1
DRQO;HUB1;18;1;1;5460;1;0;1;1;0;1;1
HUB1;LXJU;17;0;1;5409;0;1;0;0;1;0;0
LXJU;HUB1;1;8;0;5409;0;1;0;0;1;0;0
HUB1;WRMA;13;19;0;4675;0;0;0;0;1;0;0
WRMA;HUB1;20;2;1;4675;0;0;0;0;1;0;0
HUB1;EMDZ;22;1;1;2100;1;0;1;1;0;1;1
EMDZ;HUB1;2;5;0;2100;1;0;1;1;0;1;1
HUB1;MBOH;14;21;0;5513;0;1;0;1;1;0;1
MBOH;HUB1;23;6;1;5513;0;1;0;1;1;0;1
HUB1;KUBD;18;20;0;1534;0;1;0;1;1;0;1
KUBD;HUB1;22;0;1;1534;0;1;0;1;1;0;1
HUB1;ZVER;23;1;1;1207;0;0;0;0;1;0;0
ZVER;HUB1;3;5;0;1207;0;0;0;0;1;0;0
HUB1;CAFX;12;16;0;2870;0;1;0;0;1;0;0
CAFX;HUB1;18;22;0;2870;0;1;0;0;1;0;0
HUB1;DILO;21;0;1;1962;1;1;1;1;1;1;1
DILO;HUB1;2;5;0;1962;1;1;1;1;1;1;1
HUB1;CBOY;21;23;0;1522;0;0;0;0;1;0;0
CBOY;HUB1;0;2;0;1522;0;0;0;0;1;0;0
HUB1;YXGP;20;2;1;4974;1;1;1;1;1;1;1
YXGP;HUB1;4;10;0;4974;1;1;1;1;1;1;1
HUB1;OVNC;11;15;0;3121;0;1;0;0;1;0;0
OVNC;HUB1;17;21;0;3121;0;1;0;0;1;0;0
HUB1;ELBG;14;17;0;2244;1;1;1;1;1;1;1
ELBG;HUB1;19;22;0;2244;1;1;1;1;1;1;1
HUB1;OOPM;0;4;0;2770;0;1;0;1;1;0;1
OOPM;HUB1;5;9;0;2770;0;1;0;1;1;0;1
HUB1;DFGC;17;22;0;3746;1;0;1;1;0;1;1
DFGC;HUB1;23;4;1;3746;1;0;1;1;0;1;1
HUB1;SZSN;17;1;1;6045;0;1;0;0;1;0;0
SZSN;HUB1;3;11;0;6045;0;1;0;0;1;0;0
HUB1;ZTDV;8;9;0;829;0;1;0;0;1;0;0
ZTDV;HUB1;11;12;0;829;0;1;0;0;1;0;0
HUB1;TRVD;10;13;0;2107;1;1;1;1;1;1;1
TRVD;HUB1;14;17;0;2107;1;1;1;1;1;1;1
HUB1;LWYG;13;17;0;3372;1;0;1;1;0;1;1
LWYG;HUB1;19;23;0;3372;1;0;1;1;0;1;1
HUB1;TSZU;14;21;0;5315;0;1;0;0;1;0;0
TSZU;HUB1;23;6;1;5315;0;1;0;0;1;0;0
HUB1;LUUC;5;10;0;3466;1;0;1;1;0;1;1
LUUC;HUB1;11;16;0;3466;1;0;1;1;0;1;1
HUB1;JIIT;0;5;0;3566;0;1;0;0;1;0;0
JIIT;HUB1;6;11;0;3566;0;1;0;0;1;0;0
HUB1;VUWF;19;1;1;4403;0;1;0;0;1;1;0
VUWF;HUB1;3;9;0;4403;0;1;0;0;1;1;0
HUB1;LYRP;8;14;0;4929;1;1;1;1;1;1;1
LYRP;HUB1;16;22;0;4929;1;1;1;1;1;1;1
HUB1;SXVV;3;10;0;5142;0;1;0;1;1;0;1
SXVV;HUB1;11;18;0;5142;0;1;0;1;1;0;1
HUB1;UAJD;23;7;1;6387;0;0;0;0;1;0;0
UAJD;HUB1;8;16;0;6387;0;0;0;0;1;0;0
HUB1;MAYC;4;6;0;1175;0;1;0;1;1;0;1
MAYC;HUB1;8;10;0;1175;0;1;0;1;1;0;1
HUB1;YTYO;12;19;0;5724;0;0;0;0;1;0;0
YTYO;HUB1;21;4;1;5724;0;0;0;0;1;0;0
HUB1;EGXJ;14;17;0;2463;1;0;1;1;0;1;1
EGXJ;HUB1;19;22;0;2463;1;0;1;1;0;1;1
HUB1;FYUV;12;16;0;3266;0;1;0;0;1;0;0
FYUV;HUB1;17;21;0;3266;0;1;0;0;1;0;0
HUB1;GPFM;13;18;0;4093;0;1;0;0;1;1;0
GPFM;HUB1;19;0;1;4093;0;1;0;0;1;1;0
HUB1;NQRK;8;14;0;4638;1;0;1;1;0;1;1
NQRK;HUB1;16;22;0;4638;1;0;1;1;0;1;1
HUB1;SDDN;2;9;0;5341;0;1;0;0;1;1;0
SDDN;HUB1;10;17;0;5341;0;1;0;0;1;1;0
HUB1;CHCC;14;17;0;1913;0;0;0;0;1;0;0
CHCC;HUB1;19;22;0;1913;0;0;0;0;1;0;0
HUB1;JLUH;22;0;1;951;0;0;0;0;1;0;0
JLUH;HUB1;1;3;0;951;0;0;0;0;1;0;0
HUB1;LGUH;6;9;0;2428;0;1;0;0;1;0;0
LGUH;HUB1;11;14;0;2428;0;1;0;0;1;0;0
HUB1;UAAG;23;6;1;5771;1;0;1;1;0;1;1
UAAG;HUB1;7;14;0;5771;1;0;1;1;0;1;1
HUB1;QIDQ;22;4;1;4371;1;1;1;1;1;1;1
QIDQ;HUB1;6;12;0;4371;1;1;1;1;1;1;1
HUB1;RWIU;11;18;0;5209;0;1;0;0;1;1;0
RWIU;HUB1;19;2;1;5209;0;1;0;0;1;1;0
HUB1;AFPJ;20;4;1;6739;1;0;1;1;0;1;1
AFPJ;HUB1;6;14;0;6739;1;0;1;1;0;1;1
HUB1;CRKR;13;17;0;2953;0;1;0;0;1;1;0
CRKR;HUB1;19;23;0;2953;0;1;0;0;1;1;0
HUB1;KDQV;1;6;0;3424;0;1;0;0;1;1;0
KDQV;HUB1;7;12;0;3424;0;1;0;0;1;1;0
HUB1;ZUPK;8;16;0;6763;0;0;0;0;1;0;0
ZUPK;HUB1;17;1;1;6763;0;0;0;0;1;0;0
HUB1;JTJI;23;4;1;4100;0;1;0;0;1;1;0
JTJI;HUB1;6;11;0;4100;0;1;0;0;1;1;0
HUB1;JWPG;15;22;0;5660;0;1;0;0;1;1;0
JWPG;HUB1;23;6;1;5660;0;1;0;0;1;1;0
HUB1;MUQO;14;21;0;5780;1;0;1;1;0;1;1
MUQO;HUB1;23;6;1;5780;1;0;1;1;0;1;1
HUB1;KNOB;14;17;0;1750;1;0;1;1;0;1;1
KNOB;HUB1;19;22;0;1750;1;0;1;1;0;1;1
HUB1;JNYS;23;6;1;5618;1;0;1;1;0;1;1
JNYS;HUB1;7;14;0;5618;1;0;1;1;0;1;1
HUB1;JAQA;22;4;1;4539;1;0;1;1;0;1;1
JAQA;HUB1;5;11;0;4539;1;0;1;1;0;1;1
HUB1;PCQC;19;2;1;5320;0;1;0;0;1;0;0
PCQC;HUB1;3;10;0;5320;0;1;0;0;1;0;0
HUB1;KCVP;8;16;0;6111;1;0;1;1;0;1;1
KCVP;HUB1;17;1;1;6111;1;0;1;1;0;1;1
HUB1;ZOLC;11;15;0;2812;0;1;0;0;1;1;0
ZOLC;HUB1;16;20;0;2812;0;1;0;0;1;1;0
HUB1;NHCX;21;4;1;5662;0;1;0;1;1;0;1
NHCX;HUB1;6;13;0;5662;0;1;0;1;1;0;1
HUB1;RUXP;17;1;1;6044;0;1;0;0;1;0;0
RUXP;HUB1;2;10;0;6044;0;1;0;0;1;0;0
HUB1;SCMS;19;23;0;3144;1;1;1;1;1;1;1
SCMS;HUB1;1;5;0;3144;1;1;1;1;1;1;1
HUB1;XAES;19;23;0;3083;0;1;0;1;1;0;1
XAES;HUB1;0;4;0;3083;0;1;0;1;1;0;1
HUB1;KNEZ;6;13;0;5350;0;1;0;1;1;0;1
KNEZ;HUB1;15;22;0;5350;0;1;0;1;1;0;1
HUB1;UWRG;6;13;0;5187;0;1;0;0;1;0;0
UWRG;HUB1;15;22;0;5187;0;1;0;0;1;0;0
HUB1;APPS;1;3;0;1016;0;1;0;0;1;0;0
APPS;HUB1;5;7;0;1016;0;1;0;0;1;0;0
HUB1;PGKG;6;14;0;6482;0;1;0;0;1;1;0
PGKG;HUB1;16;0;1;6482;0;1;0;0;1;1;0
HUB1;BKZT;7;12;0;3469;1;1;1;1;1;1;1
BKZT;HUB1;14;19;0;3469;1;1;1;1;1;1;1
HUB1;GCUM;5;7;0;1695;0;1;0;0;1;1;0
GCUM;HUB1;8;10;0;1695;0;1;0;0;1;1;0
HUB1;QXBF;22;3;1;3733;1;1;1;1;1;1;1
QXBF;HUB1;4;9;0;3733;1;1;1;1;1;1;1
HUB1;AQUO;9;14;0;3915;1;1;1;1;1;1;1
AQUO;HUB1;16;21;0;3915;1;1;1;1;1;1;1
HUB1;YJXD;9;12;0;1934;0;1;0;1;1;0;1
YJXD;HUB1;13;16;0;1934;0;1;0;1;1;0;1
HUB1;KYIS;3;10;0;5857;0;1;0;0;1;0;0
KYIS;HUB1;11;18;0;5857;0;1;0;0;1;0;0
HUB1;MVAE;22;2;1;2994;0;1;0;0;1;0;0
MVAE;HUB1;4;8;0;2994;0;1;0;0;1;0;0
HUB1;TZLH;21;23;0;1673;1;1;1;1;1;1;1
TZLH;HUB1;0;2;0;1673;1;1;1;1;1;1;1
HUB1;BMMC;15;19;0;2950;1;1;1;1;1;1;1
BMMC;HUB1;20;0;1;2950;1;1;1;1;1;1;1
HUB1;PUFU;7;12;0;3770;0;1;0;0;1;1;0
PUFU;HUB1;14;19;0;3770;0;1;0;0;1;1;0
HUB1;TAEE;20;22;0;1220;0;1;0;0;1;1;0
TAEE;HUB1;23;1;1;1220;0;1;0;0;1;1;0
HUB1;KOXT;15;23;0;6731;0;1;0;0;1;0;0
KOXT;HUB1;0;8;0;6731;0;1;0;0;1;0;0
HUB1;ZHCC;14;18;0;2988;0;1;0;1;1;0;1
ZHCC;HUB1;20;0;1;2988;0;1;0;1;1;0;1
HUB1;STDQ;14;17;0;2211;0;0;0;0;1;0;0
STDQ;HUB1;18;21;0;2211;0;0;0;0;1;0;0
HUB1;KSNL;11;19;0;6632;0;1;0;0;1;0;0
KSNL;HUB1;21;5;1;6632;0;1;0;0;1;0;0
HUB1;CFLJ;13;19;0;5015;1;1;1;1;1;1;1
CFLJ;HUB1;20;2;1;5015;1;1;1;1;1;1;1
HUB1;LLGC;18;2;1;5988;1;1;1;1;1;1;1
LLGC;HUB1;3;11;0;5988;1;1;1;1;1;1;1
HUB1;CPTA;20;0;1;2565;1;0;1;1;0;1;1
CPTA;HUB1;2;6;0;2565;1;0;1;1;0;1;1
HUB1;MDZO;6;15;0;6861;1;0;1;1;0;1;1
MDZO;HUB1;17;2;1;6861;1;0;1;1;0;1;1
HUB1;QNAX;4;7;0;2432;0;1;0;0;1;1;0
QNAX;HUB1;9;12;0;2432;0;1;0;0;1;1;0
HUB1;LIAE;23;7;1;6157;0;1;0;1;1;0;1
LIAE;HUB1;9;17;0;6157;0;1;0;1;1;0;1
HUB1;WAVG;22;1;1;2547;1;1;1;1;1;1;1
WAVG;HUB1;3;6;0;2547;1;1;1;1;1;1;1
HUB1;AUVV;20;3;1;5760;0;1;0;0;1;0;0
AUVV;HUB1;5;12;0;5760;0;1;0;0;1;0;0
HUB1;GFOP;18;22;0;2590;0;1;0;1;1;0;1
GFOP;HUB1;23;3;1;2590;0;1;0;1;1;0;1
HUB1;HNBN;11;19;0;6421;1;1;1;1;1;1;1
HNBN;HUB1;20;4;1;6421;1;1;1;1;1;1;1
HUB1;AMVU;7;10;0;2080;1;1;1;1;1;1;1
AMVU;HUB1;11;14;0;2080;1;1;1;1;1;1;1
HUB1;NEAW;17;1;1;6756;1;0;1;1;0;1;1
