id;code;name;first_processing_time;business_processing_time;premium_economy_processing_time;economy_processing_time;first_processing_cost;business_processing_cost;premium_economy_processing_cost;economy_processing_cost;first_loading_cost;business_loading_cost;premium_economy_loading_cost;economy_loading_cost
ded07d4f-8698-4620-a1d3-a22acc6ba3fb;KSNL;Airport KSNL;31;24;19;6;6.95;5.88;4.79;1.62;2.56;2.48;2.46;1.81
b726772b-b6a0-47b8-a938-8c17ede5f272;CFLJ;Airport CFLJ;26;20;16;6;6.67;5.71;3.78;1.43;2.88;2.77;2.49;1.33
f72ae4ff-cde0-434f-a8f5-600bb6010e45;LLGC;Airport LLGC;19;17;14;5;6.4;5.95;3.75;1.01;2.55;2.16;2.11;1.15
7d6fb3df-bc65-4deb-b9f6-0fdc0021f479;CPTA;Airport CPTA;42;29;24;5;6.56;5.69;4.53;1.95;2.26;2.1;1.99;1.77
ab20f76a-7bd2-4bf3-9f1a-a0cc4d6f98c2;MDZO;Airport MDZO;33;21;10;6;7.61;6.05;3.59;1.99;3.42;1.97;1.93;1.04
1496d437-b52f-45cf-9ca4-89f339197270;QNAX;Airport QNAX;23;22;21;6;7.2;4.27;4.04;1.39;2.57;2.08;1.97;1.26
72ab079b-574a-4777-90fa-bd6216ffa5ef;LIAE;Airport LIAE;35;31;24;4;5.67;5.38;4.66;1.7;2.26;2.05;2.0;1.61
b2da7ece-f6f8-4705-a691-4c49e80b6d68;WAVG;Airport WAVG;22;19;10;6;5.82;4.62;4.26;1.91;3.44;2.58;2.21;1.86
deea9e62-67f4-45c5-a820-cc5416b6860d;AUVV;Airport AUVV;40;15;9;6;7.87;6.03;3.68;1.87;3.1;2.65;1.64;1.09
b76fd50d-38cf-4abe-bfe5-017a16264383;GFOP;Airport GFOP;36;25;13;4;7.2;4.84;4.45;1.81;3.3;2.88;1.68;1.45
e0ca8c25-276b-4a8d-89ac-3ad5be1d782d;HNBN;Airport HNBN;37;29;12;5;7.31;5.81;4.68;1.68;3.48;2.39;2.34;1.61
42ef731f-2917-485a-9d5a-3e98bd0230cb;AMVU;Airport AMVU;34;29;13;6;5.41;5.17;4.35;1.2;3.04;2.68;1.63;1.58
d8e61726-fd68-407c-aad5-6d11aa15c9b7;NEAW;Airport NEAW;40;36;13;6;7.36;5.76;3.95;1.17;3.37;2.06;1.64;1.23
bbec124c-15d5-493a-af15-93f6330d531a;LXIM;Airport LXIM;45;19;13;4;7.01;5.12;3.87;1.22;3.13;2.23;2.02;1.89
71eae9c4-132a-4ff1-aad6-39a91a2fe127;DQYT;Airport DQYT;48;26;23;5;6.83;5.88;4.06;1.03;3.31;2.9;2.18;1.9
928331ae-5b28-4b65-b732-080acc2a3eed;ULPW;Airport ULPW;44;29;22;5;7.55;6.72;4.04;1.7;3.48;1.95;1.84;1.17
53a0cb67-3234-47c4-9beb-87455673743c;UAJN;Airport UAJN;43;23;15;5;6.97;6.86;4.2;1.62;3.17;2.04;1.68;1.59
005c256c-3ef7-4867-b089-905e2e4e2885;YKHO;Airport YKHO;40;36;21;6;7.39;6.38;3.93;1.13;3.47;2.35;2.15;1.71
71ba5294-0b62-4e7f-bf9a-20a4930e292d;HERA;Airport HERA;45;15;8;5;5.37;4.1;3.85;1.26;3.02;2.83;2.49;1.79
9ee4d15f-eec7-4bd5-b07a-7ef054ec8442;EBYM;Airport EBYM;46;11;10;4;7.06;6.73;4.79;1.38;3.14;2.29;2.24;1.0
53bfca69-a2d4-45bc-bab1-01231da5db4f;RREQ;Airport RREQ;48;32;16;6;7.81;6.7;4.57;2.0;3.1;2.66;2.3;1.49
4ad907b4-9e82-4936-9e3f-282821c4ce30;XOXZ;Airport XOXZ;28;25;12;4;7.46;6.94;3.77;1.09;3.16;2.76;1.93;1.91
2b9c38d3-c2c5-44ec-93c9-8beb62d9138b;VIHK;Airport VIHK;44;32;20;5;7.88;6.59;4.51;1.6;3.17;2.76;1.92;1.67
3a760a03-f66e-4eaa-a204-a458153dd681;CZQD;Airport CZQD;31;23;17;6;7.97;6.09;4.6;1.03;2.99;2.64;2.46;1.78
0ffcde51-4fb3-4682-a57e-17c6875c250f;HUDY;Airport HUDY;37;36;18;6;7.36;4.94;4.21;1.46;3.25;2.26;1.94;1.85
3147ffdd-6d6d-4b90-9659-9a8b50400615;ZACS;Airport ZACS;47;29;19;4;7.14;6.04;4.11;1.28;2.51;2.48;2.35;1.69
5114605a-53b2-4c8a-9dfe-668d2fba5d00;DSKH;Airport DSKH;22;20;13;6;5.94;4.71;3.61;1.87;3.04;2.42;1.71;1.18
8b8c97e6-d609-4215-bcaf-274aa05341b7;EQRU;Airport EQRU;48;36;24;6;6.72;5.64;3.78;1.67;3.45;2.57;1.81;1.25
bce2409f-72c5-4f48-8744-4353232f709e;QWSN;Airport QWSN;26;15;10;6;7.26;5.37;4.97;1.89;3.32;2.26;1.99;1.55
68508ab1-9d98-4f35-a93f-f4574b33ec5c;RCHL;Airport RCHL;48;28;7;5;6.63;6.03;4.83;1.3;3.38;2.9;2.19;1.48
338bb86a-a914-4d11-ac0f-8bf376481a37;LNNZ;Airport LNNZ;48;31;20;6;7.3;4.71;3.5;1.66;2.46;2.44;2.41;1.9
5edb1c03-eb09-4a99-8faa-7163d28a9ade;FWBM;Airport FWBM;33;21;13;6;6.69;6.28;4.07;1.64;3.06;2.33;2.26;1.5
9b3cdde2-1293-461f-8227-c2f5834368ae;JEZQ;Airport JEZQ;32;30;12;6;6.92;6.83;3.74;1.4;3.03;2.7;2.05;1.21
600d4106-0a21-4313-b0c1-9ba9bb9299e6;DHGP;Airport DHGP;30;25;19;6;6.78;5.11;4.88;1.78;2.88;2.47;2.46;1.57
ee0151c4-0940-4d7f-92e0-9d18137f5593;GDMH;Airport GDMH;44;16;12;6;7.33;5.67;3.76;1.94;3.06;2.6;2.11;1.97
70cc589c-1857-448b-990d-22047228b6fc;QYTT;Airport QYTT;37;25;11;4;7.44;5.78;4.07;1.28;3.39;2.75;2.25;1.38
800d965f-40cb-4b00-adb8-b3732315018f;LKEE;Airport LKEE;32;27;23;5;7.95;6.64;4.13;1.96;3.05;2.34;2.12;1.96
9d8890a5-668e-4ab5-b071-bd96ef272a25;OTDG;Airport OTDG;36;22;9;4;6.94;4.62;4.11;1.87;2.93;1.97;1.83;1.16
833c799d-7580-4f91-9e2f-5df44f246751;NDKV;Airport NDKV;48;21;10;5;6.64;6.32;4.7;1.23;3.12;2.48;2.27;1.29
2418f697-14a7-481a-ae5b-db051dc50a1f;RGFW;Airport RGFW;37;27;18;5;7.96;6.44;4.59;1.72;2.84;2.25;2.23;1.12
996bade3-5314-4bc8-be6a-e129af63f313;KYID;Airport KYID;44;30;24;5;7.98;4.87;4.05;1.98;2.36;2.28;2.03;1.02
a34942c1-6c18-4dfb-8214-481a6050251d;CBNG;Airport CBNG;23;20;19;5;6.61;6.12;3.87;1.16;3.05;2.91;1.6;1.57
c2a07874-b3ea-4c8e-b119-0e5b53ee4b68;PSCF;Airport PSCF;46;32;8;4;5.55;5.32;4.93;1.4;2.58;2.42;1.71;1.08
df6ae071-d387-4a7f-b902-84b045f0a0af;XBEK;Airport XBEK;18;12;10;6;6.57;5.77;4.83;1.49;3.4;2.24;2.22;1.05
9cf80a72-3721-4c72-99d8-e28b740bcbfb;WJWV;Airport WJWV;31;29;22;5;7.33;6.05;3.9;1.82;3.47;2.63;2.1;1.93
9e01aa88-5e0d-48fd-afb0-1c8ec084163b;FNBI;Airport FNBI;36;26;6;5;7.64;5.04;4.09;1.39;2.9;2.83;1.9;1.81
d0ed60ff-1006-40f9-af06-59c5746a299f;VDAZ;Airport VDAZ;36;25;24;6;7.34;5.58;4.29;1.99;2.8;2.04;1.54;1.14
690f0b0a-a16c-42bd-bb17-207084173690;FTTR;Airport FTTR;23;20;10;5;5.97;5.57;4.72;1.75;2.62;2.31;2.18;1.72
c4e23828-0b95-44ea-a0fa-ae5586c53f1b;SPAD;Airport SPAD;39;22;6;5;6.74;5.9;4.13;1.08;2.9;2.71;2.49;1.46
aea571b1-8627-4fc2-9e8b-9fa8f4ff86b4;KINJ;Airport KINJ;39;25;12;6;7.73;6.48;4.46;1.48;3.09;2.94;2.42;1.53
adda4634-5dfe-401c-9319-626320af28e0;HUZO;Airport HUZO;27;21;8;5;6.99;5.52;3.63;1.72;3.45;2.99;2.33;1.51
0d1b31ea-acd1-4cbc-aa7d-e904fc5fcb53;HLJE;Airport HLJE;31;24;11;6;7.22;6.93;4.19;1.44;3.13;2.95;2.37;1.21
413cc1ae-d147-4239-bd31-d199b211e736;WUZF;Airport WUZF;33;28;9;6;7.07;4.7;4.31;1.77;3.3;2.94;2.45;1.54
1ed76a08-ed17-43b0-8ecb-a010477ef246;YPMR;Airport YPMR;37;32;9;4;6.41;5.57;3.9;1.96;3.44;2.59;2.45;1.53
b26d7d5a-fe5e-462a-8225-5e15aa4f2d89;JSQP;Airport JSQP;30;28;24;4;7.43;5.01;4.5;1.99;2.85;2.74;2.28;1.3
628f96f9-29d9-459c-b645-8f614aad5721;TOGL;Airport TOGL;40;34;17;4;5.89;5.16;4.8;1.89;3.41;2.67;2.3;1.59
3ffbfc6a-d75b-4c81-b7ac-7537db6e7252;HGUY;Airport HGUY;42;28;22;5;7.91;6.02;3.94;1.85;3.0;2.99;1.95;1.31
89d3e787-20f8-464d-82d0-e812c4a2b8ee;YYLJ;Airport YYLJ;36;33;21;4;7.01;4.16;3.78;1.37;3.49;2.75;2.19;1.91
3030d452-6c4a-4b9e-a2ad-a31be98b59f1;EOXF;Airport EOXF;36;26;10;5;6.05;4.4;4.13;1.65;2.81;2.72;2.39;1.11
62a401cf-c419-4bab-a8db-528a5a4c38a4;VFHF;Airport VFHF;31;28;24;6;7.62;6.46;3.91;1.97;2.89;2.52;2.4;1.14
0019433d-97de-4adb-b058-bcbfc060eb0e;GAZY;Airport GAZY;38;19;15;5;7.21;6.05;4.23;1.92;2.12;2.09;1.77;1.08
19371a27-bc26-4e8c-a0bb-d3202c750016;FPNO;Airport FPNO;28;17;14;4;6.31;5.51;4.52;1.32;2.6;2.45;2.28;1.71
fe81726d-fe18-4e5e-a55c-396fb399e644;SUNZ;Airport SUNZ;35;24;20;6;6.24;4.95;4.32;1.14;3.14;2.99;2.06;1.98
7d630c9d-1ede-42da-8726-f7194ba66640;AEGJ;Airport AEGJ;46;35;21;4;7.72;5.01;3.94;1.91;3.38;2.44;2.31;1.28
9880f9c3-82f1-4af5-a97d-0f6f1d979811;BFML;Airport BFML;46;34;23;6;7.33;6.02;3.64;1.82;3.39;3.0;2.16;1.82
0a92bef3-a70a-4a2d-bcd2-5b89b0698bd4;DBPR;Airport DBPR;39;27;17;6;7.95;4.77;3.69;1.39;2.63;2.43;2.14;1.01
25774b30-d125-4ffd-8b75-5c9aecdfdd4b;UQBV;Airport UQBV;35;18;9;5;7.72;6.94;4.0;1.58;3.33;2.89;2.47;1.68
d76a17bd-7cf2-4bbe-9605-c2208f876f48;TDUC;Airport TDUC;43;32;10;5;6.4;4.45;4.17;1.09;3.27;2.71;2.09;1.93
d94e7a20-c6c9-4988-8ca2-39922bf057e8;RQBD;Airport RQBD;40;22;7;4;7.84;5.38;3.72;1.03;2.88;2.69;2.44;1.78
7c4b56da-e2d2-482a-bb4c-e2bce2504a6e;VZCQ;Airport VZCQ;37;29;16;6;7.38;6.97;4.51;1.38;2.65;2.59;2.28;1.57
81594958-f23e-4bde-8b39-fb8e9775fc09;BIBJ;Airport BIBJ;44;28;18;5;5.56;4.31;4.04;1.69;3.22;2.99;2.33;1.21
5619283f-5d17-41c0-b118-990d32929d48;RXRQ;Airport RXRQ;46;35;22;6;7.01;5.05;4.58;1.21;3.14;2.55;1.97;1.56
c9fe7247-d645-4360-838f-3516cf6593ee;VINE;Airport VINE;34;25;8;5;6.38;5.5;4.31;1.24;2.99;2.33;2.02;1.4
b7ae1869-b705-4d5b-9f0d-8b32ce74a6b6;GVAI;Airport GVAI;35;32;7;6;6.8;5.02;4.1;1.59;3.14;2.6;2.21;1.47
bad4a7bc-7ab0-4872-bcb0-bdc84818887f;LEHE;Airport LEHE;48;10;5;4;7.21;6.86;4.51;1.72;2.66;2.53;1.87;1.8
bcc158ae-bc64-41a0-9df0-e3bb314d8e99;YAYG;Airport YAYG;36;23;19;6;5.26;5.0;4.85;1.11;3.19;2.53;2.29;1.95
fb820832-2b7d-4947-9d45-54c165d55eea;ZIVJ;Airport ZIVJ;38;27;16;4;7.76;6.5;4.93;1.95;2.18;1.99;1.87;1.38
355766dd-8445-449c-afd4-4748b557d311;LPCU;Airport LPCU;48;32;17;5;7.91;4.85;3.59;1.33;3.06;2.46;1.54;1.41
a650c779-29a7-4e47-a074-aef2ea802e71;ETPX;Airport ETPX;26;17;6;5;6.56;4.32;4.19;1.19;2.51;2.27;2.11;1.37
c59ed228-74b3-44aa-8514-90107b773c36;MPFF;Airport MPFF;33;31;24;6;7.13;6.02;3.52;1.96;3.41;2.99;2.38;1.88
c651b868-c4e1-403b-b9bd-e456a09217da;SUUQ;Airport SUUQ;43;31;21;5;7.08;6.63;3.74;1.23;3.12;2.85;2.25;1.58
accf29f2-3d29-44b7-80e7-a13d0fde8e65;DRYW;Airport DRYW;46;33;6;4;5.36;4.94;4.54;1.05;2.32;2.11;1.93;1.53
c4ce26ee-95dd-425f-b5b2-b6f875d9736a;GIDI;Airport GIDI;40;32;22;4;5.6;5.22;3.63;1.53;3.21;2.61;2.29;1.88
3b54d593-e098-4f26-8722-f82077a6885c;RAQA;Airport RAQA;44;33;22;6;7.93;6.46;4.81;1.77;3.11;2.44;2.33;1.34
540f2785-a603-48cb-a7c7-80a5697248a9;AMFM;Airport AMFM;44;16;9;6;7.31;6.01;4.93;1.58;2.9;2.77;1.81;1.21
8b05e3ba-8bd9-4d7c-a38b-c4f95c740ad4;NSEW;Airport NSEW;47;29;15;6;7.13;6.76;4.53;1.87;3.47;2.81;2.46;1.58
5e8b7263-e3b7-4da4-87a7-b4c0051eed10;DRQO;Airport DRQO;18;14;9;5;5.5;5.18;4.95;1.24;3.11;2.19;2.13;1.09
98153dcb-05f9-44ef-ae19-ebf962490312;LXJU;Airport LXJU;41;23;16;6;6.02;5.74;3.99;1.86;2.84;2.56;2.42;1.85
29b053cb-6eb4-417f-b211-ba669bf88eab;WRMA;Airport WRMA;47;29;16;4;7.79;6.78;4.14;1.53;2.67;2.46;2.19;1.27
2d9a1155-4017-4321-a65b-6c100e83a52c;EMDZ;Airport EMDZ;35;23;21;4;6.69;4.46;3.64;1.1;2.88;2.75;1.67;1.66
00c92c72-5112-4b0e-8c98-8e0b61ef9fd4;MBOH;Airport MBOH;42;35;13;6;7.35;6.77;4.75;1.81;3.32;1.97;1.83;1.34
bcc99a64-b4b8-4240-a30d-da6c536c33ec;KUBD;Airport KUBD;41;25;21;4;7.81;6.33;4.41;1.93;3.16;2.77;1.53;1.37
838cff94-597d-4c7e-9d81-3940ec057d99;ZVER;Airport ZVER;34;15;11;5;6.79;6.46;4.42;1.83;2.43;2.17;1.91;1.02
82cf8105-3270-42f1-9ae7-1834c1d3003b;CAFX;Airport CAFX;35;29;5;4;6.23;4.26;3.96;1.89;3.24;2.95;2.11;1.68
21625b7a-0603-43f7-a108-a79b1eb8b9c9;DILO;Airport DILO;38;13;12;4;7.37;5.59;4.95;1.64;3.45;2.94;2.31;1.14
4c441d89-db57-43bc-9be0-408dfeea4545;CBOY;Airport CBOY;33;30;22;6;6.67;5.97;4.21;1.64;3.14;2.8;1.97;1.77
fcce915c-7834-4361-bc88-80aa7432bd58;YXGP;Airport YXGP;48;35;24;6;7.46;4.46;3.79;1.54;3.16;2.93;2.18;1.38
14dcb957-c739-4dc7-a315-be47e93864fa;OVNC;Airport OVNC;30;28;20;5;7.39;5.85;4.7;1.12;2.6;2.5;1.63;1.16
8296c268-1017-4e94-abd1-8ea3dc93ddd4;ELBG;Airport ELBG;39;33;10;5;7.14;6.88;3.52;1.62;2.99;2.11;1.53;1.07
19495328-f428-4c76-ac13-de12cd2e1b7b;OOPM;Airport OOPM;43;33;24;5;7.48;6.54;4.66;1.88;2.95;2.69;2.45;1.64
8b29dfa4-7cef-4ad0-805f-534933c39ebe;DFGC;Airport DFGC;30;21;20;5;6.77;6.64;4.24;1.65;2.84;2.13;1.76;1.44
2ca48373-9a30-4831-a55e-c18d8e7de55c;SZSN;Airport SZSN;40;34;23;5;6.82;5.17;4.3;1.9;2.78;2.04;1.59;1.11
effb580f-8ea8-4da9-9629-29f707fa8ebc;ZTDV;Airport ZTDV;43;14;5;4;6.95;5.62;4.69;1.02;3.24;2.77;2.39;1.05
6fbdc89c-fcd3-4669-9be8-eb690d7fb6d0;TRVD;Airport TRVD;48;25;9;5;6.17;4.8;3.74;1.59;3.01;2.83;2.05;1.34
a6bd30e4-734d-4d68-81c0-a89438b98ad1;LWYG;Airport LWYG;23;17;12;4;7.4;5.04;3.98;1.4;3.41;2.85;1.91;1.9
726fb7cc-2564-4a16-a8bb-058dc58abd56;TSZU;Airport TSZU;40;35;8;5;7.17;5.96;4.9;1.23;3.11;2.52;2.34;1.07
ddf31241-f39c-42c7-8ec2-0b07fb312dc8;LUUC;Airport LUUC;48;30;10;5;5.49;5.06;4.12;1.78;3.48;2.42;2.4;1.62
f267a7eb-cf07-4249-b51a-59016f4be578;JIIT;Airport JIIT;41;24;14;5;7.62;6.54;4.99;1.32;2.56;2.45;1.99;1.79
8774a3e5-c665-43df-a95b-b684ac4619de;VUWF;Airport VUWF;38;23;14;5;7.93;6.62;3.81;1.54;3.23;2.95;1.8;1.76
d5fca73b-8121-4ed8-ac5b-4e5b26ae756f;LYRP;Airport LYRP;32;23;22;5;7.4;6.62;4.28;1.84;2.82;2.72;1.87;1.48
404b23b7-45e2-46a9-8ed8-21a8c68f9059;SXVV;Airport SXVV;46;28;16;5;6.58;5.2;3.92;1.72;3.42;2.48;2.09;1.1
2fff1451-0ea7-4c8c-98b4-d679b606a6d3;UAJD;Airport UAJD;40;32;24;5;6.39;4.35;3.72;1.96;2.68;2.65;2.43;1.78
32a73d88-494c-4174-a6d2-7f4059625589;MAYC;Airport MAYC;43;32;12;5;6.9;5.98;4.31;1.89;2.63;2.29;1.65;1.64
6b93c174-a037-448b-8920-8118006e52bb;YTYO;Airport YTYO;33;23;19;6;7.21;5.84;3.56;1.53;3.17;2.4;2.09;1.97
feb30a83-c40b-4b10-9e59-24b4aa14aaba;EGXJ;Airport EGXJ;48;35;14;4;7.35;5.67;3.8;1.11;3.47;2.73;2.44;1.78
efb5c496-5e8d-4a0b-9e71-1795be31ba72;FYUV;Airport FYUV;36;31;20;6;6.21;4.85;3.51;1.31;3.26;2.52;2.12;1.4
d8332fbf-0574-46ad-8395-fa0788f73d28;GPFM;Airport GPFM;26;23;21;4;6.89;6.21;4.4;1.25;3.43;1.97;1.9;1.15
4a13703e-16a7-45b5-a268-ab59a7e3fda0;NQRK;Airport NQRK;34;33;22;4;6.79;5.3;4.55;1.96;3.21;2.94;2.47;1.91
b8e5a840-58ff-4c2b-87b8-6d37d33ace04;SDDN;Airport SDDN;37;30;22;4;6.55;5.06;4.23;1.71;3.37;2.57;2.37;1.21
e3e82045-c84d-4b8f-b19c-98ee8271d220;CHCC;Airport CHCC;35;29;15;6;6.4;5.1;4.85;1.21;3.16;2.91;2.12;1.7
d1c84a3f-e3bc-4eb0-938b-9e0256d94d72;JLUH;Airport JLUH;30;24;20;4;7.01;6.6;4.15;1.44;3.4;2.25;2.14;1.78
ec9f2754-d57e-4f24-acde-dc2644abc50a;LGUH;Airport LGUH;28;11;8;4;7.1;5.27;4.29;1.72;3.01;1.98;1.77;1.28
caa09236-5145-4942-a81b-99dff0265d36;UAAG;Airport UAAG;38;16;10;6;6.86;5.76;4.29;1.35;2.83;2.25;2.11;1.04
